title_survey,imdbId,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,imdb_avg_rate,reviews
Joker (2019),7286456,Joker,Joker,2019,122,"Crime,Drama,Thriller",8.6,694996
Parasite (2019),6751668,Parasite,Gisaengchung,2019,132,"Comedy,Crime,Drama",8.6,282253
Once upon a time... in Hollywood (2019),7131622,Once Upon a Time... in Hollywood,Once Upon a Time ...in Hollywood,2019,161,"Comedy,Drama",7.7,395911
Marriage Story (2019),7653254,Marriage Story,Marriage Story,2019,137,"Comedy,Drama,Romance",8,179781
The irishman (2019),1302006,The Irishman,The Irishman,2019,209,"Biography,Crime,Drama",8,249836
1917 (2019),8579674,1917,1917,2019,119,"Drama,War",8.5,199412
Us (2019),6857112,Us,Us,2019,116,"Horror,Mystery,Thriller",6.9,184523
Pain & Glory (2019),8291806,Pain and Glory,Dolor y gloria,2019,113,Drama,7.6,34465
The Lighthouse (2019),7984734,The Lighthouse,The Lighthouse,2019,109,"Drama,Fantasy,Horror",7.7,77375
Knives Out (2019),8946378,Knives Out,Knives Out,2019,131,"Comedy,Crime,Drama",8,195158
Jojo Rabbit (2019),2584384,Jojo Rabbit,Jojo Rabbit,2019,108,"Comedy,Drama,War",8,142178
The Farewell (2019),8637428,The Farewell,The Farewell,2019,100,"Comedy,Drama",7.7,31077
Yesterday (2019),8079248,Yesterday,Yesterday,2019,116,"Comedy,Fantasy,Music",6.9,79234
Roma (2018),6155172,Roma,Roma,2018,135,Drama,7.7,124065
Bohemian Rhapsody (2018),1727824,Bohemian Rhapsody,Bohemian Rhapsody,2018,134,"Biography,Drama,Music",8,410173
Ready Player One (2018),1677720,Ready Player One,Ready Player One,2018,140,"Action,Adventure,Sci-Fi",7.5,331704
Isle of Dogs (2018),5104604,Isle of Dogs,Isle of Dogs,2018,101,"Adventure,Animation,Comedy",7.9,123063
A Star Is Born (2018),1517451,A Star Is Born,A Star Is Born,2018,136,"Drama,Music,Romance",7.7,297894
The Favourite (2018),5083738,The Favourite,The Favourite,2018,119,"Biography,Comedy,Drama",7.6,148625
Black Panther (2018),1825683,Black Panther,Black Panther,2018,134,"Action,Adventure,Sci-Fi",7.3,565783
BlacKkKlansman (2018),7349662,BlacKkKlansman,BlacKkKlansman,2018,135,"Biography,Crime,Drama",7.5,179891
Spiderman: into Spider-verse (2018),4633694,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,2018,117,"Action,Adventure,Animation",8.4,297925
Suspiria (2018),1034415,Suspiria,Suspiria,2018,152,"Fantasy,Horror,Mystery",6.8,50514
Avengers: Infinity War (2018),4154756,Avengers: Infinity War,Avengers: Infinity War,2018,149,"Action,Adventure,Sci-Fi",8.5,749683
Dunkirk (2017),5013056,Dunkirk,Dunkirk,2017,106,"Action,Drama,History",7.9,502750
Blade Runner 2049 (2017),1856101,Blade Runner 2049,Blade Runner 2049,2017,164,"Action,Drama,Mystery",8,414953
Get Out (2017),5052448,Get Out,Get Out,2017,104,"Horror,Mystery,Thriller",7.7,445268
Coco (2017),2380307,Coco,Coco,2017,105,"Adventure,Animation,Family",8.4,321912
The Shape of Water (2017),5580390,The Shape of Water,The Shape of Water,2017,123,"Adventure,Drama,Fantasy",7.3,339432
It (2017),1396484,It,It,2017,135,Horror,7.3,422159
"Three Billboards Outside Ebbing, Missouri (2017)",5027774,"Three Billboards Outside Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri",2017,115,"Comedy,Crime,Drama",8.2,383935
Call Me by Your Name (2017),5726616,Call Me by Your Name,Call Me by Your Name,2017,132,"Drama,Romance",7.9,178675
Mother! (2017),5109784,Mother!,Mother!,2017,121,"Drama,Horror,Mystery",6.6,173957
Lady Bird (2017),4925292,Lady Bird,Lady Bird,2017,94,"Comedy,Drama",7.4,204820
Deadpool (2016),1431045,Deadpool,Deadpool,2016,108,"Action,Adventure,Comedy",8,859447
Arrival (2016),2543164,Arrival,Arrival,2016,116,"Drama,Mystery,Sci-Fi",7.9,550281
La La Land (2016),3783958,La La Land,La La Land,2016,128,"Comedy,Drama,Music",8,465805
Moonlight (2016),4975722,Moonlight,Moonlight,2016,111,Drama,7.4,247630
Hidden Figures (2016),4846340,Hidden Figures,Hidden Figures,2016,127,"Biography,Drama,History",7.8,182961
Nocturnal Animals (2016),4550098,Nocturnal Animals,Nocturnal Animals,2016,116,"Drama,Thriller",7.5,219192
Captain Fantastic (2016),3553976,Captain Fantastic,Captain Fantastic,2016,118,"Comedy,Drama",7.9,170989
Toni Erdmann (2016),4048272,Toni Erdmann,Toni Erdmann,2016,162,"Comedy,Drama",7.4,40697
Split (2016),4972582,Split,Split,2016,117,"Horror,Thriller",7.3,391741
Hacksaw Ridge (2016),2119532,Hacksaw Ridge,Hacksaw Ridge,2016,139,"Biography,Drama,History",8.1,395482
The Martian (2015),3659388,The Martian,The Martian,2015,144,"Adventure,Drama,Sci-Fi",8,715612
Inside Out (2015),2096673,Inside Out,Inside Out,2015,95,"Adventure,Animation,Comedy",8.2,568233
Mad Max: Fury Road (2015),1392190,Mad Max: Fury Road,Mad Max: Fury Road,2015,120,"Action,Adventure,Sci-Fi",8.1,821428
Ex Machina (2015),470752,Ex Machina,Ex Machina,2014,108,"Drama,Mystery,Sci-Fi",7.7,444661
The Revenant (2015),1663202,The Revenant,The Revenant,2015,156,"Action,Adventure,Biography",8,658891
Spotlight (2015),1895587,Spotlight,Spotlight,2015,129,"Biography,Crime,Drama",8.1,387970
Anomalisa (2015),2401878,Anomalisa,Anomalisa,2015,90,"Animation,Comedy,Drama",7.3,61188
Carol (2015),2402927,Carol,Carol,2015,118,"Drama,Romance",7.2,106890
Star Wars: Episode VII - The Force Awakens (2015),2488496,Star Wars: Episode VII - The Force Awakens,Star Wars: Episode VII - The Force Awakens,2015,138,"Action,Adventure,Sci-Fi",7.9,827273
Victoria (2015),4226388,Victoria,Victoria,2015,138,"Crime,Drama,Romance",7.7,47592
Interstellar (2014),816692,Interstellar,Interstellar,2014,169,"Adventure,Drama,Sci-Fi",8.6,1378919
The Imitation Game (2014),2084970,The Imitation Game,The Imitation Game,2014,114,"Biography,Drama,Thriller",8,645198
Guardians of the Galaxy (2014),2015381,Guardians of the Galaxy,Guardians of the Galaxy,2014,121,"Action,Adventure,Comedy",8,997376
Gone Girl (2014),2267998,Gone Girl,Gone Girl,2014,149,"Drama,Mystery,Thriller",8.1,799672
"Grand Budapest Hotel, The (2014)",2278388,The Grand Budapest Hotel,The Grand Budapest Hotel,2014,99,"Adventure,Comedy,Crime",8.1,662703
Edge of Tomorrow (2014),1631867,Edge of Tomorrow,Edge of Tomorrow,2014,113,"Action,Sci-Fi",7.9,568795
Whiplash (2014),2582802,Whiplash,Whiplash,2014,106,"Drama,Music",8.5,658365
Birdman: Or (The Unexpected Virtue of Ignorance) (2014),2562232,Birdman or (The Unexpected Virtue of Ignorance),Birdman or (The Unexpected Virtue of Ignorance),2014,119,"Comedy,Drama",7.7,546247
Nightcrawler (2014),2872718,Nightcrawler,Nightcrawler,2014,117,"Crime,Drama,Thriller",7.9,428832
The Lego Movie (2014),1490017,The Lego Movie,The Lego Movie,2014,100,"Action,Adventure,Animation",7.8,313445
John Wick (2014),2911666,John Wick,John Wick,2014,101,"Action,Crime,Thriller",7.4,496956
Boyhood (2014),1065073,Boyhood,Boyhood,2014,165,Drama,7.9,323972
The Wolf of Wall Street (2013),993846,The Wolf of Wall Street,The Wolf of Wall Street,2013,180,"Biography,Crime,Drama",8.2,1092028
Gravity (2013),1454468,Gravity,Gravity,2013,91,"Drama,Sci-Fi,Thriller",7.7,736594
Her (2013),1798709,Her,Her,2013,126,"Drama,Romance,Sci-Fi",8,500010
Frozen (2013),2294629,Frozen,Frozen,2013,102,"Adventure,Animation,Comedy",7.5,545497
Now You See Me (2013),1670345,Now You See Me,Now You See Me,2013,115,"Crime,Mystery,Thriller",7.3,570215
Under the Skin (2013),1441395,Under the Skin,Under the Skin,2013,108,"Drama,Horror,Sci-Fi",6.3,120294
Inside Llewin Davis (2013),2042568,Inside Llewyn Davis,Inside Llewyn Davis,2013,104,"Comedy,Drama,Music",7.5,130180
The Hunger Games (2012),1392170,The Hunger Games,The Hunger Games,2012,142,"Action,Adventure,Sci-Fi",7.2,813254
Django Unchained (2012),1853728,Django Unchained,Django Unchained,2012,165,"Drama,Western",8.4,1271538
Silver Linings Playbook (2012),1045658,Silver Linings Playbook,Silver Linings Playbook,2012,122,"Comedy,Drama,Romance",7.7,637089
Life of Pi (2012),454876,Life of Pi,Life of Pi,2012,127,"Adventure,Drama,Fantasy",7.9,554737
Cloud Atlas (2012),1371111,Cloud Atlas,Cloud Atlas,2012,172,"Action,Drama,Mystery",7.4,333991
Holy Motors (2012),2076220,Holy Motors,Holy Motors,2012,115,"Drama,Fantasy",7.1,38801
Ted (2012),1637725,Ted,Ted,2012,106,Comedy,6.9,551801
Amour (2012),1602620,Amour,Amour,2012,127,"Drama,Romance",7.9,88099
Skyfall (2012),1074638,Skyfall,Skyfall,2012,143,"Action,Adventure,Thriller",7.7,608171
Oh Boy (2012),1954701,A Coffee in Berlin,Oh Boy,2012,86,"Comedy,Drama",7.4,14306
Frances Ha (2012),2347569,Frances Ha,Frances Ha,2012,86,"Comedy,Drama,Romance",7.5,65866
Intouchables (2011),1675434,The Intouchables,Intouchables,2011,112,"Biography,Comedy,Drama",8.5,711009
Drive (2011),780504,Drive,Drive,2011,100,"Crime,Drama",7.8,542270
The Girl with the Dragon Tattoo (2011),1568346,The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo,2011,158,"Crime,Drama,Mystery",7.8,400677
Midnight in Paris (2011),1605783,Midnight in Paris,Midnight in Paris,2011,96,"Comedy,Fantasy,Romance",7.7,367871
The Help (2011),1454029,The Help,The Help,2011,146,Drama,8.1,405760
The Tree of Life (2011),478304,The Tree of Life,The Tree of Life,2011,139,"Drama,Fantasy",6.8,161118
Inception (2010),1375666,Inception,Inception,2010,148,"Action,Adventure,Sci-Fi",8.8,1925640
The King's Speech (2010),1504320,The King's Speech,The King's Speech,2010,118,"Biography,Drama,History",8,613189
Black Swan (2010),947798,Black Swan,Black Swan,2010,108,"Drama,Thriller",8,670125
Shutter Island (2010),1130884,Shutter Island,Shutter Island,2010,138,"Mystery,Thriller",8.1,1054435
Easy A (2010),1282140,Easy A,Easy A,2010,92,"Comedy,Drama,Romance",7.1,341549
Despicable Me (2010),1323594,Despicable Me,Despicable Me,2010,95,"Animation,Comedy,Family",7.6,479903
127 Hours (2010),1542344,127 Hours,127 Hours,2010,94,"Biography,Drama",7.6,334152
The Social Network (2010),1285016,The Social Network,The Social Network,2010,120,"Biography,Drama",7.7,588415
