,count,mean,std,min,25%,50%,75%,max
Joker (2019),30.0,4.333333333333333,0.6608945522512667,3.0,4.0,4.0,5.0,5.0
Parasite (2019),21.0,4.857142857142857,0.47809144373375745,3.0,5.0,5.0,5.0,5.0
Once upon a time... in Hollywood  (2019),24.0,3.7083333333333335,1.1220775245117838,1.0,3.0,4.0,5.0,5.0
Marriage Story (2019),20.0,4.25,0.8506963092234007,2.0,4.0,4.0,5.0,5.0
The irishman  (2019),17.0,3.0588235294117645,1.1974237050483694,1.0,2.0,3.0,4.0,5.0
1917 (2019),7.0,4.142857142857143,0.8997354108424372,3.0,3.5,4.0,5.0,5.0
Us (2019),6.0,3.6666666666666665,1.632993161855452,1.0,3.0,4.0,5.0,5.0
Pain & Glory (2019),14.0,3.9285714285714284,0.9168747682531898,3.0,3.0,4.0,5.0,5.0
The Lighthouse (2019),5.0,3.2,1.0954451150103321,2.0,3.0,3.0,3.0,5.0
Knives Out (2019),7.0,2.857142857142857,1.4638501094227998,1.0,2.0,2.0,4.0,5.0
Jojo Rabbit (2019),10.0,4.3,1.0593499054713802,2.0,4.0,5.0,5.0,5.0
The Farewell (2019),5.0,3.0,1.4142135623730951,1.0,3.0,3.0,3.0,5.0
Yesterday (2019),12.0,3.0,0.6030226891555273,2.0,3.0,3.0,3.0,4.0
Roma (2018),19.0,3.8421052631578947,1.0145145470035761,2.0,3.5,4.0,4.5,5.0
Bohemian Rhapsody (2018),30.0,4.266666666666667,0.784915252764901,2.0,4.0,4.0,5.0,5.0
Ready Player One (2018),11.0,2.909090909090909,1.3751033019046572,1.0,2.0,3.0,4.0,5.0
Isle of Dogs (2018),16.0,3.9375,1.0626225419530053,1.0,3.75,4.0,5.0,5.0
A Star Is Born (2018),16.0,3.3125,1.4930394055974097,1.0,2.0,4.0,4.25,5.0
The Favourite  (2018),13.0,3.769230769230769,1.0127393670836666,2.0,3.0,4.0,4.0,5.0
Black Panther (2018),22.0,2.9545454545454546,1.2140947137789433,1.0,2.0,3.0,4.0,5.0
BlacKkKlansman (2018),14.0,3.9285714285714284,0.9972489631508746,2.0,3.0,4.0,5.0,5.0
Spiderman: into Spider-verse (2018),15.0,3.3333333333333335,1.4960264830861913,1.0,2.0,4.0,4.0,5.0
