userId,imdbId,rating,source
Mano,7286456,5.0,1
olivia,7286456,5.0,1
Seno,7286456,4.0,1
Sujit,7286456,4.0,1
brecht,7286456,5.0,1
Can,7286456,5.0,1
Valerie,7286456,4.0,1
Adam Driver,7286456,4.0,1
Alex,7286456,4.0,1
me,7286456,5.0,1
Max,7286456,4.0,1
em,7286456,3.0,1
Dani,7286456,5.0,1
Pantareimadrid,7286456,4.0,1
lea dicaprio,7286456,3.0,1
Cuanina,7286456,4.0,1
Alex Tester,7286456,5.0,1
Carmen Maura,7286456,3.0,1
Kosta,7286456,4.0,1
Chespirito,7286456,4.0,1
Marcel,7286456,5.0,1
Flac,7286456,4.0,1
Totoro,7286456,4.0,1
John Sample,7286456,5.0,1
Wim Wenders,7286456,5.0,1
Isabel,7286456,5.0,1
Julie,7286456,5.0,1
Tony Stark,7286456,4.0,1
Hilko,7286456,5.0,1
Yoana,7286456,4.0,1
Tessa,6751668,5.0,1
olivia,6751668,5.0,1
Seno,6751668,4.0,1
brecht,6751668,5.0,1
Valerie,6751668,5.0,1
Adam Driver,6751668,5.0,1
me,6751668,5.0,1
June,6751668,5.0,1
em,6751668,5.0,1
lea dicaprio,6751668,5.0,1
Cuanina,6751668,5.0,1
Alex Tester,6751668,5.0,1
Carmen Maura,6751668,5.0,1
Mag,6751668,5.0,1
yai,6751668,5.0,1
Totoro,6751668,5.0,1
Wim Wenders,6751668,5.0,1
Isabel,6751668,5.0,1
Tony Stark,6751668,3.0,1
Hilko,6751668,5.0,1
Yoana,6751668,5.0,1
olivia,7653254,4.0,1
Sujit,7653254,4.0,1
Valerie,7653254,3.0,1
Adam Driver,7653254,5.0,1
me,7653254,5.0,1
June,7653254,5.0,1
em,7653254,4.0,1
Elsa,7653254,5.0,1
Cuanina,7653254,4.0,1
Carmen Maura,7653254,5.0,1
Mag,7653254,4.0,1
Kosta,7653254,5.0,1
Chespirito,7653254,4.0,1
yai,7653254,4.0,1
Totoro,7653254,3.0,1
Wim Wenders,7653254,5.0,1
Julie,7653254,4.0,1
Tony Stark,7653254,2.0,1
Hilko,7653254,5.0,1
Yoana,7653254,5.0,1
me,8579674,4.0,1
Max,8579674,5.0,1
em,8579674,3.0,1
lea dicaprio,8579674,5.0,1
Alex Tester,8579674,5.0,1
Totoro,8579674,4.0,1
Tony Stark,8579674,3.0,1
Tessa,6857112,5.0,1
olivia,6857112,5.0,1
brecht,6857112,5.0,1
em,6857112,3.0,1
Carmen Maura,6857112,1.0,1
Tony Stark,6857112,3.0,1
olivia,8291806,4.0,1
brecht,8291806,5.0,1
me,8291806,3.0,1
em,8291806,3.0,1
Pantareimadrid,8291806,5.0,1
Cuanina,8291806,4.0,1
Carmen Maura,8291806,5.0,1
Carstencito,8291806,5.0,1
Mag,8291806,4.0,1
Chespirito,8291806,5.0,1
yai,8291806,3.0,1
Wim Wenders,8291806,3.0,1
Tony Stark,8291806,3.0,1
Yoana,8291806,3.0,1
em,7984734,3.0,1
Cuanina,7984734,3.0,1
yai,7984734,5.0,1
Totoro,7984734,2.0,1
Tony Stark,7984734,3.0,1
Tessa,8946378,5.0,1
me,8946378,2.0,1
em,8946378,4.0,1
Mag,8946378,4.0,1
Wim Wenders,8946378,2.0,1
Tony Stark,8946378,2.0,1
Yoana,8946378,1.0,1
Tessa,2584384,5.0,1
em,2584384,5.0,1
Dani,2584384,5.0,1
Cuanina,2584384,3.0,1
Alex Tester,2584384,5.0,1
Mag,2584384,5.0,1
Totoro,2584384,4.0,1
Wim Wenders,2584384,5.0,1
Tony Stark,2584384,2.0,1
Hilko,2584384,4.0,1
Unknown,8637428,5.0,1
me,8637428,3.0,1
em,8637428,3.0,1
Totoro,8637428,3.0,1
Tony Stark,8637428,1.0,1
Seno,8079248,2.0,1
brecht,8079248,3.0,1
Adam Driver,8079248,3.0,1
me,8079248,3.0,1
em,8079248,4.0,1
Cuanina,8079248,3.0,1
Alex Tester,8079248,3.0,1
Carstencito,8079248,4.0,1
Mag,8079248,3.0,1
Totoro,8079248,3.0,1
Wim Wenders,8079248,3.0,1
Tony Stark,8079248,2.0,1
Tessa,6155172,2.0,1
brecht,6155172,4.0,1
Adam Driver,6155172,4.0,1
me,6155172,3.0,1
em,6155172,5.0,1
Dani,6155172,3.0,1
Pantareimadrid,6155172,4.0,1
Cuanina,6155172,4.0,1
Alex Tester,6155172,4.0,1
